ID,Name,Category,Price
1,Item-1,Food,168.39
2,Item-2,Sports,333.11
3,Item-3,Sports,402.36
4,Item-4,Clothing,438.33
5,Item-5,Home,52.72
6,Item-6,Electronics,244.25
7,Item-7,Home,369.91
8,Item-8,Clothing,14.21
9,Item-9,Electronics,10.2
10,Item-10,Food,467.95
11,Item-11,Toys,198.05
12,Item-12,Toys,209.55
13,Item-13,Food,193.47
14,Item-14,Clothing,387.69
15,Item-15,Home,347.89
16,Item-16,Books,287.75
17,Item-17,Sports,465.86
18,Item-18,Electronics,206.83
19,Item-19,Sports,388.4
20,Item-20,Sports,42.34
21,Item-21,Electronics,308.15
22,Item-22,Sports,115.92
23,Item-23,Home,299.68
24,Item-24,Food,50.0
25,Item-25,Sports,416.51
26,Item-26,Sports,279.57
27,Item-27,Sports,340.93
28,Item-28,Electronics,123.53
29,Item-29,Electronics,151.91
30,Item-30,Electronics,30.01
31,Item-31,Books,435.28
32,Item-32,Electronics,334.78
33,Item-33,Food,173.36
34,Item-34,Home,390.69
35,Item-35,Toys,142.36
36,Item-36,Electronics,302.79
37,Item-37,Toys,230.92
38,Item-38,Books,400.13
39,Item-39,Home,70.76
40,Item-40,Clothing,104.1
41,Item-41,Food,321.62
42,Item-42,Home,278.45
43,Item-43,Toys,107.47
44,Item-44,Electronics,480.29
45,Item-45,Toys,67.81
46,Item-46,Sports,207.32
47,Item-47,Clothing,461.52
48,Item-48,Food,311.52
49,Item-49,Electronics,412.75
50,Item-50,Sports,15.29
51,Item-51,Electronics,201.09
52,Item-52,Electronics,153.02
53,Item-53,Food,79.86
54,Item-54,Home,93.92
55,Item-55,Home,165.82
56,Item-56,Electronics,263.44
57,Item-57,Food,494.99
58,Item-58,Books,325.97
59,Item-59,Sports,346.05
60,Item-60,Food,346.28
61,Item-61,Clothing,27.44
62,Item-62,Food,114.99
63,Item-63,Toys,111.19
64,Item-64,Home,141.93
65,Item-65,Books,333.38
66,Item-66,Toys,36.69
67,Item-67,Home,304.68
68,Item-68,Books,91.76
69,Item-69,Books,389.3
70,Item-70,Toys,334.88
71,Item-71,Toys,488.79
72,Item-72,Sports,175.9
73,Item-73,Sports,202.45
74,Item-74,Home,363.37
75,Item-75,Electronics,291.22
76,Item-76,Food,295.22
77,Item-77,Electronics,132.08
78,Item-78,Toys,17.79
79,Item-79,Toys,326.8
80,Item-80,Clothing,313.75
81,Item-81,Clothing,330.64
82,Item-82,Food,381.96
83,Item-83,Food,159.19
84,Item-84,Toys,386.29
85,Item-85,Toys,310.1
86,Item-86,Sports,387.99
87,Item-87,Sports,184.8
88,Item-88,Sports,494.63
89,Item-89,Toys,417.5
90,Item-90,Home,19.13
91,Item-91,Food,472.35
92,Item-92,Sports,478.51
93,Item-93,Food,380.19
94,Item-94,Electronics,362.84
95,Item-95,Food,465.61
96,Item-96,Toys,491.1
97,Item-97,Home,245.44
98,Item-98,Food,399.6
99,Item-99,Sports,239.72
100,Item-100,Clothing,282.93
101,Item-101,Home,320.69
102,Item-102,Clothing,405.91
103,Item-103,Food,43.05
104,Item-104,Food,139.76
105,Item-105,Home,122.84
106,Item-106,Electronics,129.97
107,Item-107,Clothing,180.02
108,Item-108,Food,175.9
109,Item-109,Sports,281.0
110,Item-110,Food,379.19
111,Item-111,Home,123.48
112,Item-112,Food,238.72
113,Item-113,Electronics,167.19
114,Item-114,Home,482.55
115,Item-115,Books,40.23
116,Item-116,Food,263.41
117,Item-117,Clothing,15.46
118,Item-118,Electronics,298.47
119,Item-119,Food,85.54
120,Item-120,Home,135.65
121,Item-121,Home,441.45
122,Item-122,Food,465.7
123,Item-123,Sports,93.39
124,Item-124,Home,422.9
125,Item-125,Books,398.66
126,Item-126,Electronics,127.55
127,Item-127,Toys,248.36
128,Item-128,Electronics,80.37
129,Item-129,Sports,117.8
130,Item-130,Sports,264.0
131,Item-131,Sports,240.14
132,Item-132,Electronics,157.87
133,Item-133,Books,382.12
134,Item-134,Books,434.21
135,Item-135,Sports,124.66
136,Item-136,Clothing,58.27
137,Item-137,Clothing,11.61
138,Item-138,Electronics,89.91
139,Item-139,Clothing,129.35
140,Item-140,Toys,243.15
141,Item-141,Toys,205.78
142,Item-142,Toys,201.84
143,Item-143,Sports,278.96
144,Item-144,Sports,251.48
145,Item-145,Books,473.0
146,Item-146,Clothing,329.49
147,Item-147,Electronics,72.94
148,Item-148,Home,496.35
149,Item-149,Home,201.45
150,Item-150,Home,477.93
151,Item-151,Books,416.02
152,Item-152,Food,112.89
153,Item-153,Food,245.35
154,Item-154,Electronics,117.57
155,Item-155,Sports,73.84
156,Item-156,Sports,122.6
157,Item-157,Clothing,495.15
158,Item-158,Electronics,160.64
159,Item-159,Clothing,480.3
160,Item-160,Sports,36.02
161,Item-161,Clothing,194.8
162,Item-162,Food,385.52
163,Item-163,Sports,191.82
164,Item-164,Clothing,173.95
165,Item-165,Food,458.12
166,Item-166,Sports,220.94
167,Item-167,Toys,252.33
168,Item-168,Food,106.81
169,Item-169,Books,50.08
170,Item-170,Toys,77.5
171,Item-171,Electronics,38.23
172,Item-172,Clothing,23.8
173,Item-173,Toys,145.04
174,Item-174,Toys,372.16
175,Item-175,Food,124.18
176,Item-176,Books,87.51
177,Item-177,Books,133.58
178,Item-178,Food,101.31
